"";"book";"spk";"gender";"errors";"words";"WER";"wper"
"256";"63244";"6128";"F";247;567;43,5626102292769;"70%"
"257";"63485";"6070";"F";49;310;15,8064516129032;"70%"
"258";"63722";"6432";"M";181;843;21,4709371293001;"70%"
"259";"63723";"6432";"M";133;964;13,7966804979253;"70%"
"260";"70848";"6938";"F";143;417;34,2925659472422;"70%"
"261";"75788";"7018";"M";65;604;10,7615894039735;"70%"
"262";"75789";"7018";"M";148;1119;13,2260947274352;"70%"
"263";"86744";"6070";"F";108;840;12,8571428571429;"70%"
"264";"86745";"6070";"F";47;334;14,0718562874251;"70%"
"265";"9170";"4350";"M";255;1544;16,5155440414508;"70%"
"266";"96591";"7902";"M";70;497;14,0845070422535;"70%"
"267";"96592";"7902";"M";197;850;23,1764705882353;"70%"
"268";"96594";"7902";"M";143;365;39,1780821917808;"70%"
"269";"96595";"7902";"M";137;368;37,2282608695652;"70%"
"270";"9934";"4294";"F";42;460;9,1304347826087;"70%"
