book;spk;gender;errors;words;WER;m_seed;d_seed;model
1181;1284;F; 14; 453; 3,090508;1;42;d3
121726;121;F; 18; 135;13,333333;1;42;d3
122612;1320;M; 12; 375; 3,200000;1;42;d3
122617;1320;M; 35;1108; 3,158845;1;42;d3
122797;672;M; 47;1109; 4,238052;1;42;d3
123286;260;M; 50; 442;11,312217;1;42;d3
123288;260;M; 52; 535; 9,719626;1;42;d3
123440;260;M; 18; 301; 5,980066;1;42;d3
123852;121;F; 10; 147; 6,802721;1;42;d3
123859;121;F; 18; 187; 9,625668;1;42;d3
126133;237;F; 29; 475; 6,105263;1;42;d3
127105;121;F; 34; 655; 5,190840;1;42;d3
131720;2300;M; 66;1222; 5,400982;1;42;d3
133604;1188;M; 84;1296; 6,481481;1;42;d3
134493;237;F; 38; 319;11,912226;1;42;d3
134500;237;F; 43; 596; 7,214765;1;42;d3
134647;1284;F; 12; 288; 4,166667;1;42;d3
134686;1089;M; 41; 721; 5,686546;1;42;d3
134691;1089;M; 37; 526; 7,034221;1;42;d3
135766;1221;F; 12; 463; 2,591793;1;42;d3
135767;1221;F; 30; 842; 3,562945;1;42;d3
13751;4077;M; 58; 711; 8,157525;1;42;d3
13754;4077;M; 56; 585; 9,572650;1;42;d3
141083;1580;F; 49; 832; 5,889423;1;42;d3
141084;1580;F; 36; 705; 5,106383;1;42;d3
142345;2094;F;114;1341; 8,501119;1;42;d3
157963;908;M; 66; 621;10,628019;1;42;d3
16021;4507;F; 72; 960; 7,500000;1;42;d3
170457;3575;F; 95;1396; 6,805158;1;42;d3
1826;1995;F; 37; 411; 9,002433;1;42;d3
1836;1995;F; 50; 362;13,812155;1;42;d3
1837;1995;F; 38; 505; 7,524752;1;42;d3
210777;8455;M;127;1376; 9,229651;1;42;d3
2271;4446;F; 54; 395;13,670886;1;42;d3
2273;4446;F; 42; 559; 7,513417;1;42;d3
2275;4446;F; 43; 576; 7,465278;1;42;d3
23283;4992;F; 17; 398; 4,271357;1;42;d3
274381;8224;M; 34; 673; 5,052006;1;42;d3
274384;8224;M; 12; 350; 3,428571;1;42;d3
279154;8230;M; 33;1237; 2,667745;1;42;d3
28233;5105;M; 18; 317; 5,678233;1;42;d3
28240;5105;M; 11; 482; 2,282158;1;42;d3
28241;5105;M; 18; 504; 3,571429;1;42;d3
284447;8555;F; 80; 571;14,010508;1;42;d3
284449;8555;F; 50; 489;10,224949;1;42;d3
287645;8463;F; 12; 323; 3,715170;1;42;d3
29093;4970;F; 42; 600; 7,000000;1;42;d3
29095;4970;F; 77; 735;10,476190;1;42;d3
292519;8555;F; 29; 286;10,139860;1;42;d3
294825;8463;F; 41; 321;12,772586;1;42;d3
294828;8463;F; 60; 596;10,067114;1;42;d3
31957;908;M; 34; 472; 7,203390;1;42;d3
32865;5683;F; 18; 272; 6,617647;1;42;d3
32866;5683;F; 39; 505; 7,722772;1;42;d3
32879;5683;F; 16; 465; 3,440860;1;42;d3
33396;5142;F; 97; 934;10,385439;1;42;d3
36377;5142;F; 52; 623; 8,346709;1;42;d3
36586;5142;F;  4;  49; 8,163265;1;42;d3
36600;5142;F;  6;  64; 9,375000;1;42;d3
3979;2830;M; 25; 264; 9,469697;1;42;d3
3980;2830;M; 88;1122; 7,843137;1;42;d3
40744;5639;M;115;1466; 7,844475;1;42;d3
41797;4992;F; 64; 473;13,530655;1;42;d3
41806;4992;F; 53; 475;11,157895;1;42;d3
5694;3570;F; 56; 657; 8,523592;1;42;d3
5695;3570;F; 32; 459; 6,971678;1;42;d3
5696;3570;F; 44; 365;12,054795;1;42;d3
6852;3729;F; 52;1269; 4,097715;1;42;d3
68769;6829;F; 90; 773;11,642950;1;42;d3
68771;6829;F; 45; 708; 6,355932;1;42;d3
70968;61;M; 78; 842; 9,263658;1;42;d3
70970;61;M; 62; 639; 9,702660;1;42;d3
75918;6930;M; 26; 479; 5,427975;1;42;d3
75946;7127;M; 28; 604; 4,635762;1;42;d3
75947;7127;M; 49; 661; 7,413011;1;42;d3
76324;6930;M; 42; 436; 9,633028;1;42;d3
79730;7021;M;  8; 281; 2,846975;1;42;d3
79740;7021;M; 26; 315; 8,253968;1;42;d3
79759;7021;M;  6; 122; 4,918033;1;42;d3
81414;6930;M; 31; 377; 8,222812;1;42;d3
85628;7021;M; 20; 477; 4,192872;1;42;d3
88083;7176;M; 41; 610; 6,721311;1;42;d3
92135;7176;M;118; 855;13,801170;1;42;d3
960;2961;F; 58; 640; 9,062500;1;42;d3
961;2961;F; 68; 516;13,178295;1;42;d3
